Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 6 GB, AMD Radeon HD 7870 , Intel Core i3-2120 , 30 GB, Windows 7 - 64 Bit,Curse of Anabelle System Requirements
 256 MB, NVIDIA GeForce GTX 560 , Intel Pentium 4 2.00GHz , 1 GB, Windows 7,Gunk System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 220 MB," Windows 7, Windows 8, Windows 10",Help! I am REALLY horny! System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4690K , 6 GB, Windows 7,The Paperman System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 1.60GHz , 30 MB, Windows XP/7/8/10,Deep Ocean Rush System Requirements
 50 MB, NVIDIA GeForce GT 330 , Intel Pentium 4 2.00GHz , 2 MB, 7,3 Blind Mice: A Remediation Game for Improper Children System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , AMD FX-4300 , 500 MB, Windows 7 SP1+,Chrono's Arena System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4400E , 7 GB, Windows 8 / 10,Panzer Dragoon: Remake System Requirements
 4 GB, Intel Media Accelerator 500 , Intel Celeron , 240 MB, Windows 10,Space Space System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core i7-920 , 500 MB," Microsoft® Windows® XP/Vista/7,8, 10 or later",RotoBrix System Requirements
 100 MB, NVIDIA GeForce 7200 GS , Intel Core i7-4770 , 100 MB, XP/Vista/Win7 x32/Win7 x64/Win8 x32/Win8 x64/Win10,Tank battle System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.60GHz , 1.38 GB, Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,Halloween Chronicles: Evil Behind a Mask Collector's Edition System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-4590 , 14 GB, Windows 7,Artificial Extinction System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 500 MB," Windows 7, 8.1, 10",aMAZE Gears 2 System Requirements
 4 MB, ATI FireGL V7350 , Intel Core i3-2340UE , 5 GB," windows7,8,10",怪奇幻想夢物語 怪獣綺譚 誘宵地獄 System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 200 MB," Windows 7, 8.1, 10",GraFi Halloween System Requirements
 4 GB, AMD Radeon HD 6850 , Intel Core i3-530 , 1 GB," 64-bit Windows 7, Windows 8.1, Windows 10",Somewhere inside System Requirements
 1 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , Unknown, Windows 7 SP1+,Anime Tanks Arena System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 100 MB," Windows 7, 8, 10",Battleships and Carriers - Pacific War System Requirements
 2 GB, Intel HD 4000 , Intel Pentium 4 4.00GHz , 85 MB, Windows 7,Hentai Picross System Requirements
 4 GB, NVIDIA GeForce GTX 760 , Intel Core i3-2340UE , 1000 MB, windows 7,KiKi's adventure System Requirements
2 GB,NVIDIA GeForce 7200 GS,Intel Core 2 Duo Q6867,500 MB,Ubuntu 12.0.2,Survival Vacancy System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Core 2 Duo Q6867 , 250 MB," Windows XP, Vista, 7, 8, or 10",Anonymous Player System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , 4 GB, Windows 8 / Windows 10 64 bit,部落与弯刀 System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 500 MB, Windows 7,城市生存计划 System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-3217UE , 651 MB, Windows 7 or Later,UNFAIR System Requirements
 4 GB, NVIDIA GeForce 9800 GTX+ , Intel Core 2 Duo Q6867 , 9 GB, Windows 7,PlayBound System Requirements
 8 GB, AMD Radeon R9 280 , Intel Core i5-3570K , 10 GB," Windows 7 Service Pack 1 , Windows 8 , Windows 10",Chains of Fury System Requirements
 8 GB, AMD Radeon R7 260X , Intel Core i3-2100T , 1 GB, Windows 8.1 64-bit or Windows 10 64-bit,GO HEROES System Requirements
 200 MB, NVIDIA GeForce GTX 460 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7/8.1/10 64-bit,BIGHARDSUN System Requirements
 1 GB, NVIDIA GeForce GTX 850M , Intel Core 2 Duo Q6867 , 500 MB, Windows 7 or better,The Eye of Borrack System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Atom Z510 , 300 MB, Windows XP or newer,Windmill Kings / 风车国王 System Requirements
 1 MB, NVIDIA GeForce GT 720 , Intel Pentium 4 1.50GHz , 30 MB," windows10,8,7",ImageStriker System Requirements
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 500 MB, WindowsR 7/8/8.1/10 (32bit/64bit),Il Sole e la Luna 2 System Requirements
 1 GB, Intel HD 3000 , Intel Core 2 Duo Q6867 , 500 MB, Microsoft Windows 7/8/10,KAJA：追光者与秘境制造 System Requirements
 4 GB, NVIDIA GeForce GTX 1050 Ti , AMD Ryzen 3 2200G , 3 GB, Windows 10,Sneaker System Requirements
 2 GB, AMD Radeon HD 6570 , Intel Core 2 Duo E4500 , 500 MB, Windows 7,Geometry Hero System Requirements
2 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,170 MB,Ubuntu 16.04,Interactive Horror Stories System Requirements
 1000 MB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7,Image Compressor System Requirements
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 500 MB, Windows® 7/8/8.1/10,RaiOhGar: Asuka and the King of Steel System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 500 MB, Windows 7 SP1+ 64bit,BeatAim - Rhythm Shooter System Requirements
 2 GB, NVIDIA GeForce 6100 , Intel Core 2 Duo T7250 , 200 MB, Windows XP (SP3),PuzzlesCave System Requirements
2 GB,NVIDIA GeForce 7200 GS,Intel Pentium 4 2.00GHz,500 MB,"SteamOS ""Brewmaster""",Outpost Delta System Requirements
 4 GB, AMD Radeon R7 240 , Intel Pentium 4 2.00GHz , 2 GB," Windows 7, 8, 10",D3D INSIDE System Requirements
 8 GB, NVIDIA GeForce GTX 1070 , Intel Core i5-8500 , 10 GB, Windows 10,Waxworks: Curse of the Ancestors System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 200 MB," Windows 7, 64-bit",Beautiful elves System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 3 GB," Win 7, 8, 10",Basic Car Repair Garage VR System Requirements
 4 GB, AMD Radeon RX 480 , Intel Core i5-4590 , 500 MB, Windows 7 SP1,Escape the Lab System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo Q6867 , 90 MB, Windows 7,Dystopian Drift System Requirements
 128 MB, ATI FireGL T2-128 , Intel Core i5-4400E , 50 MB, Windows 7,Type Knight System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2320 , 2 GB, Windows 7,An Egg Can Dream System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo Q6867 , 100 MB, Windows 10,[MISC] TIMELINES System Requirements
 8 GB, NVIDIA GeForce 9600 GT , Intel Core i3-2340UE , 8 GB, Windows 7,Swiss Knife System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i3-2340UE , 6 GB, windows 10,罪業狂襲FrenzyRetribution System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i7-610 , 3 GB, Windows 10,Frequency Garden System Requirements
 2 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i5-3470 , 700 MB, Windows 7 64 Bit,Voyagers System Requirements
 12 MB, NVIDIA GeForce GTX 760 , Intel Core i5-650 , 16 GB, Windows(64-bit) 7 or Newer,Music Club Manager System Requirements
 4 GB, NVIDIA GeForce GT 755M , Intel Core i3-530 , 3 GB, Windows 10,Peer Gynt the Game System Requirements
2 GB,NVIDIA GeForce GTX 570,Intel Core 2 Duo Q6867,100 MB,Ubuntu 16.04 and later,Isle of Dinosaurs 2D System Requirements
 2 GB, AMD Radeon HD 2600 XT , Intel Core 2 Duo Q6867 , 10 GB, Windows Vista,Terminal Protocol System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 4.00GHz , 1 GB, Windows 7 / Windows 8 / Windows 10 64 bit,Sacred Sword Princesses System Requirements
 4 GB, AMD Radeon 7000 / Radeon VE Family , Intel Core i5-3210M , 1 GB, Windows 7,Touhou Ibunseki - Ayaria Dawn: ReCreation System Requirements
 2 GB, AMD Radeon HD 6450 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7/8/10 - 64bits,Rampage Miami System Requirements
2 GB,ATI FireMV 2260,Intel Core i3-2340UE,4 GB,"Ubuntu 16.04, 18.04 and CentOS 7",Nubarron: The adventure of an unlucky gnome System Requirements
4 GB,NVIDIA GeForce 6200,Intel Pentium 4 2.00GHz,300 MB,Ubuntu 16.04+ or Steam OS,AudioTheory Guitars System Requirements
 6 GB, AMD Radeon HD 7770 , Intel Core i5-3470 , 8 GB, Windows 7 64 bit,MONEY LOVES SILENCE System Requirements
 4 GB, AMD Radeon R5 M230 , Intel Core i5-650 , 10 GB, Windows 10,EVE Aether Wars - Tech Demo System Requirements
 512 MB, ATI Radeon 3000 , Intel Core 2 Duo Q6867 , 300 MB, Windows 7,I (DON'T) HATE HENTAI PUZZLES System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 2 GB," Windows 8.1, Windows 10",绿洲Oasis System Requirements
 500 MB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , Unknown, Windows XP or higher,Dimensionality 3.5 System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4400E , 4 GB, Windows 7/8.1/10 (64bit),Battle Sorcerers System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , 180 MB," Windows 7, 8 or 10",Gangsters 1920 System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i5-4460 , 10 GB, Windows 7 64-Bit or later,Monster Energy Supercross - The Official Videogame 3 System Requirements
 512 MB, ATI FireGL T2-128 , Intel Atom Z515 , 50 MB, Windows 10,Warbrush System Requirements
 4 GB, AMD Radeon R5 240 , Intel Celeron G1820 , 2 GB, Windows® 7 64-bit,Zombie Panic In Wonderland DX System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 4.00GHz , 150 MB, Windows 7 Service Pack 1,When The Past Was Around - Prologue System Requirements
 128 MB, NVIDIA GeForce 6200 , Intel Core 2 Duo T7250 , 115 MB, Microsoft® Windows® XP / Vista / 7 or higher,Cyberpunk Sex Simulator System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i5 750S , 135 MB, Windows 7 or higher,Space electrician System Requirements
 6 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-4590 , 2 GB, Windows 7 or higher,A Dragon's Tale VR System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 1.60GHz , 250 MB, Windows 7,Light Hunters: Battalion of Darkness System Requirements
 2 GB, ATI Radeon HD 4850 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7 or Newer,Volt Patrol System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 8 GB, Window 10,Unnamed VR System Requirements
 1 MB, Intel HD 3000 , Intel Atom Z510 , 1 GB, Windows XP,My Child Lebensborn System Requirements
 2 GB, ATI FireGL V7350 , Intel Pentium 4 2.00GHz , 4 GB, WIN7(Recommended)/WIN8/Vista,Banter Schooldays!!三〇一室无一人 System Requirements
 4 GB, ATI Radeon HD 5750 , Intel Core i5-4400E , Unknown, Windows 7+,Windjammers 2 System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Core i3-2340UE , 3 GB, Windows 7,Project Cappuccino System Requirements
 4 GB, ATI Radeon HD 3850 , Intel Core i5 750S , 500 MB, Windows 7 / 8 / 8.1 / 10,looK INside System Requirements
 1 GB, NVIDIA GeForce GTX 650 , Intel Core i3-6100T , 1 GB, Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bit,Pentagonal Saloon Two System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 600 MB, XP/Win7/Vistar/Win8/Win10,Dark Zone Defense System Requirements
2 GB,NVIDIA GeForce 510,Intel Pentium 4 2.00GHz,200 MB,core 4.2,Let's make... sports System Requirements
 8 GB, NVIDIA GeForce GT 730 , Intel Core i5-4590 , 2 GB," Windows7, 8, 8.1, 10 (64bit)",N.E.O System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Pentium 4 1300MHz , 8 GB, Windows 7/8/8.1/10,"The Princess, the Stray Cat, and Matters of the Heart 2 System Requirements"
 4 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i3-8350K , 3 GB, Windows 7,The Invasion of Area 51 System Requirements
 1 GB, Intel HD 520 , Intel Core 2 Duo Q6867 , 500 MB, Windows XP,Mulite Sword Man System Requirements
 4 MB, NVIDIA GeForce GT 330 , Intel Pentium 4 2.00GHz , 2 MB, 7,Bundle Kitt System Requirements
 1 GB, NVIDIA GeForce GT 720 , Intel Pentium 4 1300MHz , 2 GB, Windows 7 or above,NEKO-NIN exHeart 3 System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 1 GB," Windows 7 SP1, Windows 8.1 or later, Windows 10",Lavender System Requirements
 8 GB, ATI FireGL V7350 , Intel Pentium 4 4.00GHz , 800 MB, Windows 7,UBERMOSH:OMEGA System Requirements
 4 GB, NVIDIA GeForce 7200 GS , Intel Core i5-4400E , 350 MB, Windows 7 64bit,SAWars System Requirements
 4 GB, Intel HD 4400 , Intel Celeron N3450 , 740 MB," Windows 7, 8, 8.1, 10",Planet Lander System Requirements
 4 GB, NVIDIA GeForce GTX 650 , Intel Core i3-530 , Unknown, Windows 7 64-bit,PROJECT D : Human Risen System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core 2 Duo E8400 , 30 MB," Windows XP, Vista, 7, 8, or 10",Queeny Army System Requirements
 700 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 700 MB, Win64,Friday 星期五部门 System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Pentium 4 1.70GHz , 1 GB, Windows 8.1,D20 Dungeons System Requirements
 4 GB, NVIDIA GeForce GTX 650 Ti , Intel Core 2 Duo Q6867 , 4 GB, Windows 7 or better,Forbidden Ingress System Requirements
 6 GB, AMD Radeon HD 5450 , Intel Core i3-2340UE , 10 GB, Windows 7 64 bits,The Lost Island:Battle Royale System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-7500 , 3 GB, Windows 10,Psihanul System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 200 MB," Windows 7 SP1, Windows 8.1 or Windows 10",Mass Plus System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , Unknown, WindowsR 7/8/8.1/10 (32bit/64bit),Monsters of Kanji 2 System Requirements
 2 GB, NVIDIA GeForce GT 610 , Intel Core i3-2340UE , 1 GB, Windows  7,Vugluskr: Zombie Rampage System Requirements
 512 MB, NVIDIA GeForce GT 730 , Intel Pentium 4 1.50GHz , 1.49 GB, Windows 10,I Can't Believe It's Not Gambling 2(K) System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Pentium 4 1.60GHz , 310 MB, Windows 7 or higher,Quantumleaper System Requirements
 4 GB, Intel Media Accelerator 500 , Intel Core i3-2340UE , 345 MB, Windows 10,The Refuge System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 300 MB, Windows 7,我们的国 System Requirements
 8 GB, NVIDIA GeForce GTX 980 , Intel Pentium 4 4.00GHz , 10 GB, Windows 10,VRekken System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 2.73 GB, Windows 7,World War 2 Winter Gun Range VR Simulator System Requirements
 4 GB, NVIDIA GeForce GT 720M , Intel Core i5-3230M , 2 GB, Windows XP/Vista/7/8/10,URO2 System Requirements
 4 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 500 MB, Windows 7/8/8.1/10,Record Life System Requirements
 4 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 1.70GHz , 128 MB," Windows XP, Vista, 7, 8/8.1, 10",Explosive Jake System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium G2030 , Unknown, Windows 7/8/8.1/10,Hacking locks Simulator System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 4 GB, Windows 7,Iron Blood VR System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 50 MB, Windows 7,Kings Of Wings System Requirements
 6 GB, Intel UHD Graphics 620 , Intel Core i5-4400E , 9 GB," Windows 7, 8, 10 (64-bit)",Miriel Saga System Requirements
 4 GB, NVIDIA GeForce 6100 , Intel Core 2 Duo U7600 , 3 GB, Microsoft 64bit Windows 7-10,ShapeWorks System Requirements
 1 GB, AMD Radeon X1950 Pro , AMD Athlon 64 X2 4400+ , 200 MB, Windows XP/Windows Vista/Windows 7/Windows 8 (Latest Service Packs),Void of Heroes System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 1000 MB, Microsoft®Windows7 or newer,Heroes in Battlefield System Requirements
 5 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 1300MHz , 5 GB," Windows Vista ,7, 8, Windows 10",ESCAPE FROM VOYNA: ALIENS FROM AREA 51 System Requirements
 4 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 12 GB," Windows 7, 8 , 10 (64 Bit)",EEP  16 Expert System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 430 MB, Windows 7,Dashing Dinosaurs & Sexy Centaurs: Winter's Tale System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 1 GB," Windows 7, Windows 8",The Delirium Vacation System Requirements
 8 GB, NVIDIA GeForce GTX 950 , Intel Core i5-4460 , 10 GB, Windows 7 64bit,Vicious Gambling Agreement System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.40GHz , Unknown, window 10(32/64bit),The Leopard Catgirl in Miaoli System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 4.00GHz , 100 MB," Windows 7, 8, 10",PC Fútbol Stars System Requirements
 200 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Windows 64-bit with Java,Story Time Plus System Requirements
 8 GB, AMD Radeon RX 570 , Intel Core i5-4400E , 55 GB, Windows 10 64-bit,Rogue System Requirements
 2 GB, NVIDIA GeForce 7600 GS , Intel Core 2 Duo E6320 , 1 GB, Windows 7 or later,Heroic Mercenaries System Requirements
 1 GB, Intel Media Accelerator 500 , Intel Atom x7-Z8700 , 50 MB, Windows 7 32Bit,Super Lolicon Puzzle Simulator 2019 System Requirements
 3 GB, NVIDIA GeForce GTX 950 , Intel Core i5-4400E , 1 GB, 10,Hooks And Shotguns System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core 2 Duo Q6867 , 2 GB, Windows 10 x64,Moo Moo Move System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 100 MB," Windows 7, Windows 10",Renamer System Requirements
 4 GB, AMD Radeon HD 7870 , Intel Core i3-6100 , 4 GB, Windows 7 or newer,Dunk Lords System Requirements
 1 GB, NVIDIA GeForce GT 720 , Intel Pentium 4 1300MHz , 3.03 GB, Windows Vista+,Funbag Fantasy 2 System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 1.50GHz , 3.03 GB, Windows 7,Baobabs Mausoleum Ep.3: Un Pato en Muertoburgo System Requirements
300 MB,NVIDIA GeForce 7100 / nForce 630i,Intel Pentium 4 2.00GHz,200 MB,Ubuntu 16.04+,The Volcano System Requirements
 500 MB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , Unknown, WindowsXP/7/8/10,勇士HERO System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-4670K , 10 GB, Windows 10 x64,Boomerang X System Requirements
 8 GB, AMD Radeon R9 390 , Intel Core i7-6700 , 6 GB, Windows 7 or higher,Ôpe System Requirements
 100 MB, NVIDIA GeForce 6100 , Intel Core 2 Duo T7250 , 100 MB," Windows 10, 8.1, 8, 7, Vista (32, 64 bit)",MORSE TRAINER System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 150 MB, Win 7 +,Null Drifter System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10,Ambienz System Requirements
 4 GB, AMD Radeon HD 6870 , Intel Core i5-3570K , 200 MB, Windows 7 (64 Bit),Nira System Requirements
 8 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 5 GB, Windows 7,Beat.School: DJ Simulator System Requirements
 3 GB, NVIDIA GeForce GTX 260 , Intel Core i3-2340UE , 500 MB," Win7, Win8, Win10",魂之大陆 Soultia System Requirements
 2 GB, NVIDIA GeForce GTX 670 , Intel Core i5-4400E , 750 MB, Windows 7,Diesel Attack System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 4.00GHz , 25 MB, Windows 7,Super Novel Collector (Speedrun Edition) System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core i3-2340UE , 3 GB, Windows 7 SP1+,Two Weeks in Painland System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 2 GB," 7,8,10",Tactical Nexus System Requirements
 8 GB, AMD Radeon RX 480 , Intel Core i5-4590 , Unknown, Windows 10,Stratoscape System Requirements
 16 GB, ATI FireGL T2-128 , Intel Core i7-4770K , 9.77 GB, Microsoft Windows 10,Heart in the Dark System Requirements
 6 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4590 , 1.76 GB, Windows 7,Disc Golf Adventure VR System Requirements
1 GB,Intel Media Accelerator 500,Intel Pentium 4 2.00GHz,750 MB,Ubuntu 12.04+ or equivalent,Legend of Everything System Requirements
 4 GB, AMD Radeon HD 7770 , Intel Core i5-4590 , 2 GB, Windows 10 64-bit,Final Mission VR System Requirements
 4 MB, NVIDIA GeForce GT 330 , Intel Pentium 4 2.00GHz , 2 MB, 7,EnviroGolf System Requirements
4 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,Unknown,Ubuntu 12.04,Grand Academy II: Attack of the Sequel System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7/8/8.1/10,hallucination - 幻觉 System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.70GHz , 200 MB," Windows 7, Windows 10",The Rest of Our Lives System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 2 GB, Microsoft® Windows® 7/8/8.1/10 (32bit/64bit),Short Scary Stories System Requirements
 2 GB, ATI Radeon HD 5750 , Intel Core i5-4400E , 500 MB, 64-bit Windows 7+,Metal Unit System Requirements
 2 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 500 MB, Windows XP SP2 or newer,Lab 7: Cold Nights System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 300 MB, Win 10 or newer,FULFILLMENT System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Microsoft Windows XP/Vista/7/8,绮罗四时谭 System Requirements
 500 MB, NVIDIA GeForce GTX 660 , Intel Core i5-4590 , 400 MB, Windows 10,Uterine Supremacy System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 330 MB, Windows 7 SP1+,Shiki System Requirements
 128 MB, Intel Media Accelerator 500 , Intel Pentium 4 1.60GHz , 150 MB, Windows XP/Vista/Windows 7/8/8.1/10 (32bit/64BIT),A Zone System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 4.00GHz , 2 GB, Windows 7 SP1+,"Build 'm up, Shoot 'm down! System Requirements"
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 300 MB, ,出门 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core 2 Duo E8400 , 300 MB, Unknown,Adventures of musical tones and their notes System Requirements
 256 MB, AMD Radeon R9 380 , Intel Xeon E3-1245 , 60 MB, Windows 7,UpMove System Requirements
 1 GB, ATI FireMV 2200 PCIe , Intel Core 2 Duo Q6867 , 100 MB, Windows XP,Iceroyds! System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i5 750S , 2 GB, Windows 7,Zombie Road Rider System Requirements
 4 GB, AMD Radeon HD 6970 , Intel Core i3-2340UE , 1000 MB, Windows 10,Real Arcade Bike System Requirements
 23 MB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 23 MB, Windows 8,Power Block System Requirements
 2 GB, ATI Radeon HD 4890 , Intel Core i3-530 , 2 GB, Windows® XP,The Sphere of Abyss System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-650 , 120 MB," Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1",捕鱼勇者联盟 System Requirements
 2 GB, NVIDIA GeForce GT 730 , Intel Pentium 4 2.00GHz , 200 MB, Windows 7+,Jazz Lightning : Castle Dungeons System Requirements
 2 GB, Intel HD 5000 , Intel Core 2 Duo Q6867 , 200 MB, Windows 7,DeadShotZ System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , 400 MB, Windows 7,HAM-MASTER System Requirements
 1 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 100 MB, Windows 7 or newer,I Will Be Your Eyes System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i5-4590 , Unknown, Windows XP / Vista / 7 / 8 / 10,Metrail System Requirements
 2 GB, AMD Radeon HD 5450 , Intel Pentium 4 4.00GHz , 100 MB," Windows XP SP3, Vista, 7, 8, 10",Bullet Beat System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , Unknown, Windows 7 minimum,Gates to Terra II System Requirements
 500 MB, NVIDIA GeForce 6100 , Intel Pentium 4 2.00GHz , 200 MB, win7-win10,盛世遮天 System Requirements
 512 MB, NVIDIA GeForce 6100 , Intel Pentium 4 2.00GHz , 200 MB, win7-win10,热血战歌 System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.80GHz , 1 GB, Windows XP,MadCowBalls2 System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10 or later,Theme Store System Requirements
 128 MB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 60 MB, Microsoft® Windows® XP / Vista / 7 or higher,PUT IN BAD System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Pentium 4 2.00GHz , 300 MB, Microsoft® Windows® Windows 7,Phantom Path System Requirements
 4 GB, NVIDIA GeForce GTX 750 , AMD Athlon II X4 640 , 1.46 GB," Windows® 7,8,10",Arktrum System Requirements
 4 GB, NVIDIA GeForce GT 330 , Intel Pentium 4 2.00GHz , 2 MB, 7,Don't Kill the Cow System Requirements
 4 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 2 GB, Windows 7,Stream Fighters System Requirements
